unique_id,year_trapping,month_trapping,country,iso3c,region,town_village,classification,record_id,pathogen_tested,assay,number,geometry,longitude,latitude
az_2020_burkina,2005-2006,Nov-Oct,Burkina Faso,BFA,NA,Ouagadougou,gerbilliscus guinea,1,leishmania_species,path_1_tested,26,"c(-1.51666665077209, 12.3666667938232)",-1.5166666507720947,12.366666793823242
az_2020_burkina,2005-2006,Nov-Oct,Burkina Faso,BFA,NA,Ouagadougou,gerbilliscus guinea,1,leishmania_species,pcr_path_1_positive,0,"c(-1.51666665077209, 12.3666667938232)",-1.5166666507720947,12.366666793823242
az_2020_burkina,2005-2006,Nov-Oct,Burkina Faso,BFA,NA,Ouagadougou,mastomys natalensis,2,leishmania_species,path_1_tested,24,"c(-1.51666665077209, 12.3666667938232)",-1.5166666507720947,12.366666793823242
az_2020_burkina,2005-2006,Nov-Oct,Burkina Faso,BFA,NA,Ouagadougou,mastomys natalensis,2,leishmania_species,pcr_path_1_positive,1,"c(-1.51666665077209, 12.3666667938232)",-1.5166666507720947,12.366666793823242
az_2020_burkina,2005-2006,Nov-Oct,Burkina Faso,BFA,NA,Ouagadougou,rattus rattus,3,leishmania_species,path_1_tested,10,"c(-1.51666665077209, 12.3666667938232)",-1.5166666507720947,12.366666793823242
az_2020_burkina,2005-2006,Nov-Oct,Burkina Faso,BFA,NA,Ouagadougou,rattus rattus,3,leishmania_species,pcr_path_1_positive,0,"c(-1.51666665077209, 12.3666667938232)",-1.5166666507720947,12.366666793823242
az_2020_burkina,2005-2006,Nov-Oct,Burkina Faso,BFA,NA,Ouagadougou,praomys daltoni,4,leishmania_species,path_1_tested,9,"c(-1.51666665077209, 12.3666667938232)",-1.5166666507720947,12.366666793823242
az_2020_burkina,2005-2006,Nov-Oct,Burkina Faso,BFA,NA,Ouagadougou,praomys daltoni,4,leishmania_species,pcr_path_1_positive,0,"c(-1.51666665077209, 12.3666667938232)",-1.5166666507720947,12.366666793823242
az_2020_burkina,2005-2006,Nov-Oct,Burkina Faso,BFA,NA,Ouagadougou,taterillus sp.,5,leishmania_species,path_1_tested,8,"c(-1.51666665077209, 12.3666667938232)",-1.5166666507720947,12.366666793823242
az_2020_burkina,2005-2006,Nov-Oct,Burkina Faso,BFA,NA,Ouagadougou,taterillus sp.,5,leishmania_species,pcr_path_1_positive,1,"c(-1.51666665077209, 12.3666667938232)",-1.5166666507720947,12.366666793823242
